ID du Bilan GES,Type de structure,Type de collectivité,Raison sociale / Nom de l'entité,Année de reporting,Date de publication,Mode de consolidation,Descriptif sommaire de l'activité,SIREN,Libellé,Région,Ville,Emissions publication P1 - tCO2e,Emissions publication P2 - tCO2e,Emissions publication P3 - tCO2e,Emissions publication P4 - tCO2e,Emissions publication P5 - tCO2e,Emissions publication P6 - tCO2e,Emissions publication P7 - tCO2e,Emissions publication P8 - tCO2e,Emissions publication P9 - tCO2e,Emissions publication P10 - tCO2e,Emissions publication P11 - tCO2e,Emissions publication P12 - tCO2e,Emissions publication P13 - tCO2e,Emissions publication P14 - tCO2e,Emissions publication P15 - tCO2e,Emissions publication P16 - tCO2e,Emissions publication P17 - tCO2e,Emissions publication P18 - tCO2e,Emissions publication P19 - tCO2e,Emissions publication P20 - tCO2e,Emissions publication P21 - tCO2e,Emissions publication P22 - tCO2e,Emissions publication P23 - tCO2e
4920,Entreprise,,Bayer HealthCare SAS,1/1/2018,3/6/2020,Opérationnel,"Bayer HealthCare SAS est le pilier santé du groupe Bayer et regroupe les activités :_x000D_
«Pharmaceuticals» : dédiée au traitement des pathologies au besoin médical important : cardiologie, oncologie, hémophilie, ophtalmologie, sclérose en plaques, hypertension artérielle pulmonaire, dysfonction érectile et contraception, _x000D_
«Consumer Care» produits en automédication destinés au traitement et à la prévention des affections courantes,_x000D_
«Radiology & Interventional» : imagerie médicale",706580149.0,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,,Loos,463.0,3337.0,,,,133.00,0.00,1034.00,,,,1627.00,1236.00,,,,,,,,,,
4922,Etablissement public,,Centre Hospitalier LES MURETS,1/1/2018,3/6/2020,Financier,Le Centre Hospitalier Les Murets (CHM) est l'un des six établissements publics de santé qui couvrent les 17 secteurs de psychiatrie générale du Val-de-Marne. Il répond aux besoins en santé mentale des patients adultes du nord-est du Val-de-Marne (soit environ 326 000 habitants de plus de 20 ans sur 14 communes) et gère cinq secteurs de psychiatrie générale.,269401345.0,Activités hospitalières,,La Queue En Brie,1508.0,70.0,,41.0,,800.00,,310.00,,,,,,,,,,,,,,,
4924,Entreprise,,LES MAROQUINERIES DES ALPES,1/1/2019,3/30/2020,Opérationnel,"Hermès emploie plus de 15000 personnes dans le monde & compte plus de 300 magasins exclusifs (plus de 200 sous contrôle direct). La Maison a acquis la dimension d'un groupe international, en restant une entreprise à taille humaine, fidèle à un savoir-faire artisanal. La maison déploie sa créativité à travers une diversité de métiers dont : maroquinerie & sellerie, prêt-à-porter, chaussures, ceintures, gants, soie & textiles, bijoux, arts de la table, parfums, montres",480011451.0,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",,les Abrets,210.28,0.0,0.0,0.0,0.0,169.10,46.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
4925,Etablissement public,,Centre Hospitalier de LANDERNEAU,1/1/2019,3/10/2020,Opérationnel,"Le centre hospitalier F. Grall est un établissement public de santé qui comprend :_x000D_
- un hôpital général composé des services de médecine, de chirurgie, de soins de suite, d'obstétrique, de bloc opératoire, de consultations externes, d'urgences et d'imagerie_x000D_
- un service de psychiatrie avec hébergement, hôpital de jour et 2 CMP_x000D_
- un EHPAD._x000D_
",262900038.0,Activités hospitalières,,LANDERNEAU,852.0,45.0,,22.0,,62.00,,142.00,,,,17.00,,,,,,,,,,,
4926,Entreprise,,BPCE,1/1/2018,3/11/2020,Opérationnel,Banque et Assurance / l'organe central commun à la Banque populaire et à la Caisse d'épargne,493455042.0,Autres intermédiations monétaires,,Paris,2.0,181.0,0.0,12.0,0.0,oui,oui,oui,oui,oui,oui,oui,oui,,,oui,,,,,,386.0,0.0
4928,Entreprise,,Les Grands Chais de France,1/1/2018,3/11/2020,Opérationnel,"Les Grands Chais de France a été fondé en 1979 par son dirigeant Joseph Helfrich. Son activité se déploie dans la vinification, l'élaboration, la production et la commercialisation de produits de la filière vitivinicole et de spiritueux.",315999201.0,Vinification,,Pertersbach,4356.0,2484.0,0.0,343.0,,1419.00,,,,,,,,,,,,,,,,,
4929,Collectivité territoriale (dont EPCI),Communes,Mairie de Saint-Orens de Gameville,1/1/2019,3/11/2020,,,,,Occitanie,,142.0,4.0,,136.0,,20.00,0.00,31.00,147.00,37.00,73.00,0.00,5.00,0.00,0.00,86.00,0.00,0.00,14.00,0.00,0.0,200.0,0.0
4931,Entreprise,,Thales Global Services S.A.S,1/1/2018,4/15/2020,Opérationnel,"Mise en place et exécution des services partagés du Groupe Thales, intervenant pour les autres filiales et entités du Groupe Thales, en coordination avec les fonctions Corporate.",424704963.0,Programmation informatique,,Vélizy-Villacoublay,100.59,0.12,,344.27,,730.89,12.06,,,,,,,,,,,,,,,,
4932,Entreprise,,AXIMA REFRIGERATION FRANCE,1/1/2019,4/23/2020,Opérationnel,"ENGIE Axima vous accompagne de la définition de votre projet en réfrigération jusqu'à sa réalisation et propose différents types de contrat de maintenance._x000D_
_x000D_
Nos solutions sont innovantes, compétitives, adaptées à vos besoins avec des réductions de consommation énergétique et d'impact environnemental._x000D_
",440267177.0,Installation de machines et équipements mécaniques,,Bischheim,334.0,10700.0,0.0,152.0,0.0,138.00,0.00,,,,,,,,,,,,,,,,
4934,Entreprise,,CPAM,1/1/2019,6/25/2020,Opérationnel,"La CPAM exerce un émission de service public, en assurant les relations de proximité avec les publics de l'Assurance Maladie. Elle participe aux activités de gestion (collecte des cotisations, versements des prestations) de la couverture des risques maladie, maternité, accident du travail, maladie professionnelle, invalidité dans le département.",515260883.0,Activités générales de sécurité sociale,,METZ,666.32,111.42,0.0,7.36,0.0,oui,,oui,oui,oui,oui,,,,,,,,,,,1105.74,460.35
4936,Entreprise,,LINDT & SPRUNGLI SAS,1/1/2019,3/27/2020,Opérationnel,,672024155.0,"Fabrication de cacao, chocolat et de produits de confiserie",,OLORON SAINTE MARIE,6457.19,0.0,0.0,21.12,0.0,1709.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
4937,Etablissement public,,CHU GRENOBLE ALPES,1/1/2018,8/24/2020,Opérationnel,"Le Centre Hospitalier Universitaire de Grenoble assure : _x000D_
?	Un service public 24 heures sur 24,_x000D_
?	Le diagnostic, les soins et les urgences,_x000D_
?	L'enseignement et la formation en étroite collaboration avec les Unités de Formation et de recherche de médecine et de pharmacie, et les écoles paramédicales,_x000D_
?	La prévention et l'éducation,_x000D_
?	La recherche._x000D_
",263800302.0,Activités hospitalières,,La Tronche,,553.27,,,,1097.07,,327.14,109638.95,6210.43,1940.76,3360.36,,,,20382.41,,,,,,56214.31,12944.82
4939,Etablissement public,,Université de Bourgogne,1/1/2018,3/17/2020,Opérationnel,Établissement d'enseignement supérieur,192112373.0,Enseignement supérieur,,DIJON,2152.0,94.0,,27.0,,596.58,1207.47,,,,,,,,,,,,,,,,
4940,Entreprise,,Caisse Régionale du Crédit Agricole Toulouse 31,1/1/2018,6/12/2020,Opérationnel,Banque Assurances Immobilier,776916207.0,Autres intermédiations monétaires,,TOULOUSE,29.0,185.0,0.0,217.0,,219.00,0.00,151.00,4000.00,1274.00,6.00,1863.00,288.00,0.00,0.00,0.00,78.00,0.00,0.00,0.00,0.0,2029.0,0.0
4941,Entreprise,,ENTREPRISE MARC SA,1/1/2018,3/16/2020,Opérationnel,,636720120.0,Construction d'ouvrages maritimes et fluviaux,,Pleurtuit,15.0,3601.0,,,,11.00,,,,,,,,,,,,,,,,,
4942,Entreprise,,BG,1/1/2019,3/18/2020,Opérationnel,Fabrication de fromages,331339275.0,Fabrication de fromage,,ILLOUD,7798.95,1024.53,9076.52,0.0,0.0,1643.42,0.00,,,,,,,,,,,,,,,,
4947,Entreprise,,GROUPAMA CENTRE ATLANTIQUE,1/1/2018,3/18/2020,Opérationnel,"Groupama Centre-Atlantique exerce son activité sur 10 départements : Charente, Charente-Maritime, Deux-sèvres, Dordogne, Gironde, Indre, Lot-et-Garonne, Vendée, Vienne et Haute-Vienne._x000D_
Véritable acteur économique sur l'ensemble de son territoire, 1 492 salariés et 40 mandataires sont répartis sur les 6 sites de gestion.Les 190 agences (dont une agence mobile) sont au service des 339 570 sociétaires, 97 503 clients vie et 45 834 clients banque qui font confiance à Groupama Centre-Atlantique.",381043686.0,Autres assurances,,NIORT,579.0,1529.0,0.0,0.0,,218.00,0.00,959.00,0.00,2710.00,3.00,564.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
4950,Etablissement public,,groupe VALOPHIS,1/1/2019,10/8/2020,Opérationnel,"Le Groupe Valophis, groupement d'organismes Hlm, intervient sur tous les métiers du logement social : gestion locative, maintenance et réhabilitation, renouvellement urbain, aménagement, construction en locatif social et en accession à la propriété sécurisée.",785769555.0,Location de logements,,Créteil,53282.0,,,,,6450.00,21342.00,,954.60,,,,,,,,,,,,,,
4951,Entreprise,,AIGLE International,1/1/2019,3/19/2020,Opérationnel,"Fabrication de bottes en caoutchouc et négoce de produits chaussants, vêtements et accessoires",314397712.0,Fabrication de chaussures,,INGRANDES S/VIENNE,1288.51,22.65,0.04,12.18,0.0,207.79,0.00,,,,,,,,,,,,,,,,
4952,Collectivité territoriale (dont EPCI),Départements,Conseil Départemental de la Dordogne,1/1/2018,4/6/2020,,,,,Nouvelle-Aquitaine,,3418.0,2723.0,0.0,85.0,32.0,425.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
4953,Entreprise,,SA LA FONTE ARDENNAISE,1/1/2018,3/20/2020,Opérationnel,Fabrication de pièces en fonte usinées et peintes,785820507.0,Fonderie de fonte,,VIVIER AU COURT,27935.0,345.0,0.0,0.01,0.0,3815.00,0.00,2733.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
4958,Entreprise,,SOFIDEL France,1/1/2019,3/24/2020,Opérationnel,,411198880.0,Fabrication d'articles en papier à usage sanitaire ou domestique,,FROUARD,38647.0,564.0,53.0,10.0,0.0,6063.00,0.00,,,,,,,,,,,,,,,,
4959,Entreprise,,SERARE S.A.S.,1/1/2018,3/23/2020,Opérationnel,Restauration. Grill Courtepaille,305836033.0,Restauration traditionnelle,,Courcouronnes,2601.63,184.17,0.0,2119.53,0.0,1062.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
4960,Association,,ALYS,1/1/2020,7/29/2020,Opérationnel,"Association d'aide à la personne proposant des actions en faveur des enfants, des futurs parents, des familles, des personnes en situation de handicap, des seniors. Alys intervient à tous les âges de la vie, en établissements ou à domicile. ",783414337.0,Activités des sièges sociaux,,ENNERY,136.35,,,141.0,,20.70,,,34.72,,,,345.82,,,,,,,,,478.95,
4961,Etablissement public,,Syndicat du Bois de l'Aumône,1/1/2018,3/27/2020,Opérationnel,,256300161.0,Collecte des déchets non dangereux,,Riom,8.0,1897.0,,,,29.00,2.00,502.00,573.00,622.00,6.00,,,,62.00,620.00,,,,,,558.0,
4966,Entreprise,,APAVE NORD OUEST SAS,1/1/2018,3/27/2020,Opérationnel,"L'Apave Nord Ouest appartient au groupe APAVE. Bureau de contrôle, l'Apave Nord Ouest est réparti sur 51 sites, allant de Lille à La Rochelle et de Tours à Brest. Cela comprend des ensembles de bureaux, mais également des centres de formations professionnels. De part son activité, l'APAVE a fait le choix d'être implanté localement, ce qui réduit les distances parcourus par ses collaborateurs",419671425.0,"Analyses, essais et inspections techniques",,Marcq-en-Bar?ul,579.0,4834.0,36.0,0.0,0.0,185.00,146.00,,,,,,,,,,,,,,,,
4971,Etablissement public,,Centre Hospitalier d'Ardèche Méridionale,1/1/2018,3/25/2020,Opérationnel,"Soins, santé, activités hospitalières",200011385.0,Activités hospitalières,,Aubenas,649.0,102.0,0.0,176.0,0.0,192.00,98.00,195.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
4972,Entreprise,,NXP Semiconductors France SAS,1/1/2018,3/25/2020,Opérationnel,"NXP est une société internationale, fabricant de semi-conducteurs.  NXP dispose de plusieurs sites en France avec de nombreuses compétences (R&D, support, management) et des équipes responsables de projets européens voire mondiaux dans plusieurs domaines : radiofréquences, analogique, gestion de l'énergie, sécurité, ainsi que traitement numérique.",504538745.0,Fabrication de composants électroniques,,Gif-sur-Yvette,443.0,109.0,,719.0,,483.00,,,,,,,,,,,,,,,,,
4976,Entreprise,,XPO Supply chain france,1/1/2019,3/27/2020,Financier,Entreposage et transport,378992895.0,Entreposage et stockage non frigorifique,,toulouse,3592.0,2008.0,0.0,919.0,0.0,2183.00,0.00,2179.00,10290.00,0.00,2131.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2202.00,0.00,0.0,0.0,0.0
4979,Entreprise,,Coopérative ISIGNY SAINTE-MERE,1/1/2019,3/27/2020,Opérationnel,,317750818.0,Fabrication d'autres produits laitiers,,Isigny sur mer,33562.0,1433.0,0.0,1848.0,0.0,3342.70,0.00,,,,,,,,,,,,,,,,
4982,Entreprise,,HENKEL FRANCE SAS,1/1/2018,3/31/2020,Opérationnel,"En France, Henkel est présent dans les trois secteurs d'activités du groupe : Adhesive Technologies, Beauty Care (Cosmétiques) et Laundry & Home Care (Détergents et entretien de la maison) avec des marques reconnues comme Le Chat, Mir, Schwarzkopf, Diadermine, Loctite, et Pattex. Le site de Boulogne considéré pour le bilan GES intègre aussi depuis 2014 l'activité Schwarzkopf SAS et une partie de Henkel France operations SAS",552117590.0,"Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien",,BOULOGNE-BILLANCOURT,134.0,2007.0,0.0,34.0,0.0,40.00,0.00,573.00,,,,,,,,,,,,,,,
4988,Entreprise,,FM FRANCE SAS,1/1/2019,5/10/2020,Financier,"Prestations logistiques (entreposage, conditionnement, transport, gestion de la supply chain)",367801404.0,Entreposage et stockage non frigorifique,,Phalsbourg,3921.54,4054.22,0.0,341.17,0.0,1724.48,0.00,2440.31,0.00,0.00,1388.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
4992,Entreprise,,SOCIETE TRANE,1/1/2018,3/31/2020,Opérationnel,"Fabrication d'équipements aérauliques et frigorifiques industriels._x000D_
L'activité de production comporte :_x000D_
-	des machines-outils de mise en forme des matériaux (presses plieuses, cintreuses, mandrinage), _x000D_
-	des postes de brasage et de soudage, _x000D_
-	des lignes d'assemblage,_x000D_
-	des plates-formes de test qui permettent de vérifier les performances thermodynamiques des machines produites.",306050188.0,Fabrication d'équipements aérauliques et frigorifiques industriels,,GOLBEY,2564.0,215.0,,9388.0,,251.00,,,,,,,,,,,,,,,,,
4994,Etablissement public,,Université de Rouen Normandie,1/1/2018,3/31/2020,Opérationnel,"Fondée en 1966, l'université de Rouen Normandie fait partie de vague des ?universités nouvelles? qui ont fleuri à cette époque en France et dans le monde, compte 30 000 étudiants et 2 500 personnels et s'établit sur plusieurs campus (Mont-Saint-Aignan, Pasteur, Martainville, Madrillet, Evreux et Elbeuf)",197619042.0,Enseignement supérieur,,Mont-Saint-Aignan,1646.97,83.04,,281.14,,769.37,2610.71,973.04,,19.24,,,,,,,,,,,,,
4995,Entreprise,,Credit Agricole Assurances,1/1/2018,4/24/2020,Opérationnel,Assurances,451746077.0,Activités des sociétés holding,,PARIS,100.0,444.0,0.0,136.0,0.0,342.00,330.00,319.00,19256.00,3797.00,121.00,998.00,1533.00,0.00,0.00,34.00,35.00,0.00,0.00,0.00,0.0,3367.0,0.0
4998,Etablissement public,,CROUS de Lille,1/1/2018,4/2/2020,Opérationnel,"Le CROUS de Lille est un établissement public à caractère administratif. La mission du CROUS est de veiller à l'amélioration des conditions de vie et de travail de l'ensemble des étudiants de l'enseignement supérieur de l'académie Nord Pas de Calais._x000D_
Le CROUS de Lille gère un parc de résidences étudiantes ainsi que des Restaurants Universitaires sur les départements du Nord et du Pas de Calais. Il accompagne plus de 150 000 étudiants dans leur scolarité.",185911500.0,Action sociale sans hébergement n.c.a.,,Lille,6322.0,56.0,0.0,437.0,0.0,1493.00,4062.00,1545.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
4999,Association,,association Les Nids,1/1/2018,5/22/2020,Financier,Association d'aide à l'enfance et à la famille,775701618.0,Hébergement social pour enfants en difficultés,,Mont Saint Aignan,463.4,859.1,0.0,2.0,0.0,40.30,0.00,,,,,,,,,,,,,,,,
5002,Entreprise,,Association SEVEL Services,1/1/2019,11/9/2020,Opérationnel,"Sevel Services est une entreprise adaptée qui a pour finalité première, la promotion humaine et sociale de la personne ayant une reconnaissance de la CDAPH (Commission des Droits et de l'Autonomie des Personnes Handicapées)._x000D_
Ces activités sont la propreté : entretien et nettoyage de tous locaux, les espaces verts : création et entretien, le multi -services : aménagement intérieur / extérieur, la prestation sur site : conditionnement, manutention, contrôle qualité.",523676245.0,Nettoyage courant des bâtiments,,Saint Martin des Champs,19.12,361.9,,,,3.81,,,,,,,,,,,,,,,,,
5003,Etablissement public,,Etablissement de santé,1/1/2018,4/6/2020,Opérationnel,"Etablissement composé de 5 sites_x000D_
1 SITE MCO (Saint Chamond)_x000D_
2 SITES EHPAD (Saint Chamond - Rive de Gier)_x000D_
1 SITE SSM-MPR (Rive de Gier)_x000D_
1 SITE DE FORMATION IFSI-IFAS (Saint Chamond)",264203969.0,Activités hospitalières,,Saint Chamond,794.0,51.0,0.0,125.0,0.0,155.00,120.00,,,,,,,,,,,,,,,,
5004,Entreprise,,Crédit Agricole Alsace Vosges,1/1/2018,4/6/2020,Opérationnel,établissement de banque et d'assurances,437642531.0,Autres intermédiations monétaires,,Strasbourg,836.0,94.0,,56.0,,481.00,,362.00,,24.00,,,,,,,,,,,,,
5005,Entreprise,,VEOLIA INDUSTRIES GLOBAL SOLUTIONS,1/1/2018,4/7/2020,Opérationnel,"Veolia Industries Global Solutions est spécialisé dans la fourniture de services intégrés tels que le hard service ou le facility management chez des industriels :_x000D_
gestion des utilités (électricité, vapeur, eau surchauffée?) _x000D_
gestion des déchets _x000D_
maintenance des bâtiments et des infrastructures _x000D_
nettoyage tertiaire et technique _x000D_
entretien des espaces verts _x000D_
conciergerie, réception, sécurité_x000D_
protection et détection d'incendie _x000D_
réparation des conteneurs et outillages portatifs _x000D_
gestion du",409887395.0,Production et distribution de vapeur et d'air conditionné,,Paris,0.0,1072.0,0.0,0.0,0.0,0.50,1.20,,,,,,,,,,,,,,,,
5008,Entreprise,,Crédit Agricole d'Aquitaine,1/1/2018,4/7/2020,Opérationnel,"Le Crédit Agricole d'Aquitaine a une activité de banque et d'assurances, sur les 3 départements de la Gironde, des Landes et du Lot et Garonne et quelques cantons du Gers. Il est la banque la plus importante sur son territoire.",434651246.0,Autres intermédiations monétaires,,BORDEAUX,778.0,168.0,,76.0,,504.00,53.00,403.00,7175.00,5273.00,9.00,253.00,1044.00,,,,21.00,,,,,6167.0,
5009,Entreprise,,Saint-Gobain Isover,1/1/2018,4/7/2020,Opérationnel,,312379076.0,Fabrication de fibres de verre,,Suresnes,55188.0,987.0,13675.0,65.0,,12946.00,0.00,,,,,,,,,,,,,,,,
5011,Entreprise,,PLACOPLATRE,1/1/2018,4/7/2020,Opérationnel,,729800706.0,Fabrication d'éléments en plâtre pour la construction,,Suresnes,171915.0,5239.0,0.0,186.0,,4383.00,6192.00,,,,,,,,,,,,,,,,
5012,Entreprise,,CAMAIEU INTERNATIONAL,1/1/2018,4/7/2020,Opérationnel,"Créée en 1984, Camaieu est une marque de prêt à porter féminin portant un réseau de plus de 1000 magasins implantés dans plus de 18 pays.",345086177.0,Commerce de détail d'habillement en magasin spécialisé,,ROUBAIX,5.0,115.0,0.0,57.0,0.0,2004.00,238.00,,,,,,,,,,,,,,,,
5016,Entreprise,,SAINT LOUIS SUCRE,1/1/2019,4/10/2020,Opérationnel,"Production et commercialisation de sucre de betterave et de canne, et produits dérivés",602056749.0,Fabrication de sucre,,Paris,360904.0,0.0,0.0,0.0,0.0,4407.00,0.00,66179.00,0.00,0.00,0.00,15173.00,,,,,,,,,,,
5017,Entreprise,,BRED Banque Populaire,1/1/2019,4/19/2020,Opérationnel,"La BRED, fondée en 1919 par Louis-Alexandre Dagot à Vincennes, est la plus importante des banques populaires françaises, au sein du groupe BPCE. La BRED est une banque coopérative comptant 200 000 sociétaires en 2019. ",552091795.0,Autres intermédiations monétaires,,Paris,310.0,306.0,0.0,0.0,0.0,828.00,114.00,509.00,13048.00,5577.00,27.00,5074.00,1395.00,,,776.00,,,,,,3041.0,
5022,Entreprise,,Bio Energies Diffusion,1/1/2019,4/17/2020,Opérationnel,"Installation de matériel de chauffage écologique, spécialisé dans la géothermie sur forage vertical. ",484085295.0,Travaux d'installation d'équipements thermiques et de climatisation,,Castanet-Tolosan,0.0,49.7,0.0,0.0,0.0,0.39,0.00,0.00,135.16,22.94,0.06,5.61,0.48,0.00,0.00,0.18,0.00,,0.00,0.00,0.0,0.0,0.0
5025,Etablissement public,,Centre Hospitalier de Cannes,1/1/2018,4/15/2020,Opérationnel,"Le Centre Hospitalier de Cannes est un établissement public de santé de santé 55 000 m2 construits, 882 lits et places et comportant un effectif de 1 800 personnes. Centre Hospitalier pluridisciplinaire, le Centre Hospitalier de Cannes assure des soins dans les services de médecine (médecine, chirurgie, gynéco-obstétrique), de psychiatrie, de moyen et long séjour et d'hébergement.",260600200.0,Activités hospitalières,,Cannes Cedex,1523.72,54.0,,560.8,,412.07,,519.42,,,,,,,,,,,,,,,
5026,Entreprise,,LA NORMANDISE,1/1/2018,4/16/2020,Opérationnel,Fabrication d'alimentation pour chiens et chats,382616415.0,Fabrication d'aliments pour animaux de compagnie,,Vire,9717.0,0.0,0.0,0.0,0.0,875.00,1157.00,0.00,41238.00,2913.00,2479.00,2272.00,103.00,,,,9540.00,,,,,983.0,4457.0
5027,Entreprise,,Le Télégramme,1/1/2020,4/17/2020,Opérationnel,"Entreprise de presse quotidienne régionale présente à la fois sur le print, le web et la TNT. Le Télégramme est aussi un groupe présent sur le marché de l'emploi et de l'organisation d'événements sportifs nationaux et internationaux.",423754241.0,Édition de journaux,,Morlaix,338.0,703.0,0.0,317.0,0.0,125.00,,311.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
5028,Etablissement public,,Régie Ligne d'Azur,1/1/2018,5/31/2020,Opérationnel,Transports urbains et suburbains de voyageurs,794030213.0,Transports urbains et suburbains de voyageurs,,NICE,640.34,11649.98,,772.38,,315.00,,2676.00,24.00,,,,,,,,,,,,,,
5030,Etablissement public,,Centre hospitalier,1/1/2018,6/4/2020,Opérationnel,"Le Centre Hospitalier de Vichy est réparti sur 14 sites._x000D_
",260300264.0,Activités hospitalières,,vichy,3661.0,174.0,0.0,0.0,0.0,764.00,0.00,806.00,11523.00,2612.00,407.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,772.0,0.0
5032,Entreprise,,SIGVARIS,1/1/2018,4/17/2020,Opérationnel,fabrication de bas médicaux de compression,384137857.0,Fabrication d'articles chaussants à mailles,,SAINT JUST SAINT RAMBERT,753.0,91.0,0.0,0.0,0.0,352.00,0.00,343.00,0.00,0.00,0.00,383.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.0,0.0,0.0
5033,Entreprise,,CONNECTEURS ELECTRIQUES DEUTSCH,1/1/2016,4/20/2020,Opérationnel,"Conception, la fabrication de matériels d'installations électriques (produits d'interconnexions, connecteurs, cordons câblés) pour assurer la continuité électrique.",389470303.0,Fabrication de matériel d'installation électrique,,EVREUX,0.5,74.0,0.0,163.0,0.0,1254.00,1356.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
5034,Etablissement public,,Centre Hospitalier de Carcassonne,1/1/2019,4/20/2020,Opérationnel,"Le centre hospitalier de Carcassonne assure des missions de soins de courte durée avec ou sans hébergement, mais aussi de longue durée pour des personnes n'ayant pas d'autonomie de vie et accueille des résidents en établissement hébergeant des personnes âgées dépendantes.",261100028.0,Activités hospitalières,,Carcassonne Cedex,861.42,63.12,,385.82,,440.96,,415.32,,14.54,,,,,,,,,,,,,
5036,Entreprise,,STPI,1/1/2018,4/23/2020,Opérationnel,"Le nettoyage industriel et/ou tertiaire sous toutes ses formes : nettoyage_x000D_
de locaux industriels et particuliers, prestations de services intéressant les_x000D_
administrations publiques, les collectivités et les entreprises privées. La_x000D_
manutention sous toutes ses formes. Les prestations de logistique, incluant le_x000D_
transport public routier de marchandises.",434011052.0,Nettoyage courant des bâtiments,,ALLENJOIE,666.8,322.7,,,,2.10,0.00,,,,,,,,,,,,,,,,
5038,Entreprise,,DILLINGER France,1/1/2019,5/6/2020,Opérationnel,DILLINGER FRANCE est un laminoir à chaud qui produit des tôles de forte épaisseur et grande largeur de haute technologie.,331620096.0,Sidérurgie,,DUNKERQUE,67356.3,14.26,0.0,25.6,0.0,3981.00,0.00,,,,,,,,,,,,,,,,
5042,Entreprise,,TRAPIL,1/1/2019,4/22/2020,Opérationnel,Société des transports de produits pétroliers par pipelines,572086213.0,Transports par conduites,,PARIS,134.0,714.0,,,,4534.00,,,70.00,,1481.00,446.00,187.00,,650.00,,,,,,,,184.0
5047,Entreprise,,Fondation Bon Sauveur,1/1/2019,4/22/2020,Opérationnel,"La Fondation Bon Sauveur de Bégard a pour but d'accompagner, de soigner les personnes les plus démunies, porteuses de handicaps ou en souffrance psychique. Elle développe une offre de soins et d'hébergement tant hospitalière qu'ambulatoire, médico-sociale que sociale.",387944796.0,Activités hospitalières,,Bégard,377.41,125.98,,30.06,,102.02,,198.78,,,,,,,,,,,,,,,
5048,Etablissement public,,Centre Hospitalier de Saint-Méen-le-Grand,1/1/2019,4/22/2020,Opérationnel,Le centre hospitalier de Saint-Méen-le-Grand est un établissement public de santé disposant d'une capacité totale 282 lits et places. Il est géré en direction commune avec le CHU de Rennes et le Centre Hospitalier de Montfort sur Meu. ,263500027.0,Activités hospitalières,,Saint-Méen-le-Grand,281.05,37.07,,12.15,,29.28,,81.47,,8.47,,,,,,,,,,,,,
5050,Entreprise,,Kermené,1/1/2018,4/23/2020,Opérationnel,,496680018.0,Transformation et conservation de la viande de boucherie,,le Mené,18398.5,452.7,0.0,431.09,0.0,6862.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0
5053,Etablissement public,,Université Savoie Mont Blanc,1/1/2018,11/17/2020,Opérationnel,Etablissement universitaire d'enseignement supérieur,197308588.0,Enseignement supérieur,,Chambéry,1649.79,109.12,0.0,0.0,0.0,230.83,43.11,485.64,,,,,,,,,,,,,,,
5062,Entreprise,,Ricard SAS,1/1/2019,4/28/2020,Opérationnel,"Filiale du groupe Pernod-Ricard, elle élabore en France et commercialise partout dans le monde des produits dont elle est le propriétaire de marque : le pastis Ricard, la boisson sans alcool Pacific ainsi que certains vins d'apéritif._x000D_
Elle distribue aussi en France des marques de spiritueux fabriqués par d'autres filiales du groupe Pernod Ricard : Chivas, Absolut, Clan Campbell, etc.",303656375.0,Production de boissons alcooliques distillées,,Marseille,595.0,1937.0,0.0,0.0,0.0,305.00,0.00,,,,,,,,,,,,,,,,
